Estonia,17000,25000,,74,9913,,16488.5,6887.5,3128.136364,2588.714286,2304.025449,2638.853655,2047.622349,597.5832359,2788.703122,4735.53882,3806.301376,1541.195718,6087.968674,2637.583009,865.0900585,4000.468238,1594.828862,1077.39357,2356.749649,2600.927877,1024.839646,1372.802379,1980.791026,2173.066596,1891.687608,1597.873374,1006.875606,1018.921211,227.5490965,236.2175493,237.6115485,258.3611135,218.7373635,253.6922415,264.54442,229.5011665,277.6530735,295.8489005,304.791037
Ethiopia,5056800,,,,,,,,,,,,,,,,,,2150,4028617,2292.166667,4087,2893,2189.5,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,,,,,,,,,,,,,,30000,13320,5927.2,3627.555556,3831.272727,2620.470588,2936.352941,9344.790123,12001,4116.75,4432.285714,,12877.40625,,,,,8633.625,,,,,,,,,,,,,,
Finland,11857.08333,8108.635135,9951.875,6850.630435,11323.05319,5498.217742,6818.224427,7888.061201,3450.562695,6756.706082,6499.179924,7494.129331,10392.92252,7110.851126,8093.258391,4302.386905,15380.38441,14089.31816,14376.81243,13819.68726,7798.442706,21278.41824,12275.11145,9030.502663,13759.39135,13679.35743,10316.24756,12680.63457,8971.044736,7577.413786,6830.757988,8381.977695,6306.956608,6709.53996,81.70704295,97.17375455,92.5083537,87.5884842,96.4149105,87.6068744,91.83636105,91.8420481,87.88407065,108.9722748,86.48142145
France,59842.78383,55068.02676,61559.54081,52549.16976,41785.12838,46315.00925,45508.91756,39452.16259,36452.45279,38611.73294,24846.5375,31994.55609,28061.3024,30583.63212,34285.22878,29904.19816,31602.96954,32981.38423,37152.67531,37345.5443,40649.77885,40019.61597,41252.05279,37391.47551,38816.826,28699.37512,35778.64743,35593.44223,4610.521393,4579.71343,13615.15914,5368.178646,5834.620907,6467.895665,6225.989767,8700.004459,9962.969023,20076.08244,10258.73568,9979.280744,8535.526762,12860.42683,117.015799,125.0509569,128.025769
French Polynesia,550,,,,,,,,,,,,,,,0,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Southern and Antartic Lands,970.085,752.36,592.4688889,1037.04,667.865,814.9111111,11108.17647,535.2723077,473.0506667,487.8773333,3111.987368,12772.08091,8212.494815,5495.024743,7372.845346,2294.095074,3043.579947,641.03083,2167.79599,8786.067643,4117.883478,4774.612506,13132.28874,7746.899133,5981.737614,3936.688027,7150.760392,935.559,9157.469038,1065.595533,724.3852625,23.20455,52,,,,,,,,,,,,
Germany,1669.841064,1025.12595,852.3741545,763611.1533,1003203.574,603233.0497,784577.2489,341292.5323,300008.5892,269801.5007,206967.2964,276505.6743,203751.276,132958.9626,194365.6408,165951.0223,103389.0185,110947.7105,107801.746,114401.7337,99793.59995,106424.864,109890.3685,5047.815578,8091.421096,4476.447316,18343.55993,10313.85278,8542.651354,3930.324231,4059.161317,4992.464572,5377.418181,2511.688112,115.6322451,98.3335069,113.2657133,113.8800269,112.7790429,117.7036104,118.6736361,117.5946251,115.4354746,119.5219797,116.9409364
Ghana,,,,,,,,,,,,,,,,1.658163,,99.130952,0.770408,0.852041,,,2331.1,1765.05,,,,,,,,,0.653061,1.596939,0.739796,,,,,1.690476,,,,,
Greece,,,,,325,,127.5,1832.4,654.3,634.1304348,289.5185185,734.6206897,904.2727273,1825.916667,958.8214286,670.9333333,1215.357143,574.6,505.1538462,728.8333333,1465.88,1141.321429,785.8,797.5862069,1089.862069,626.1111111,1350.394632,2905.23658,1884.985359,1982.194632,2064.306786,2518.447433,1713.632241,3040.766949,3561.024659,2170.268199,3370.930472,2917.493824,80.604461,74.895097,77.917013,65.97046,62.43167,57.79468,47.749112
Greenland,,,,,80,36,,,,,28500,,172000,15.42857143,13.4,15.63636364,14.57142857,10.57142857,14,18761.5,1457.8,979.9294118,40.54545455,39.14285714,39.11764706,60.34375,40,44.87333333,45.63448276,45.125,47.48275862,52.40625,51.79310345,48.07142857,,,,,,,,,,,
Guatemala,,200,,,,60,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,60910,,,,,,64650,67655,,,,,,,82900,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,202041,,,,,,,,,,,,,,,,,,,,,,,,,,120799,,48645,,,,,,,,,
Heard Island And McDonald Islands,,,,,,608,,,2860,,739.2,787.5,1435.166667,33148,,339,330,7327,26900,,,,,,,19519,123,,,,,,,,,,,,,,,,,,
Hong Kong,,,,,,,,,,,,,,,,56,,,,82,86,109,114,155,108,96,171,176,249,293,204.25,235.25,78.5,85,90,100,113.5,114.5,142.5,,,,,,
Hungary,,,,3600,,19,19,341.5,738.7057063,1027.22446,1058.602671,19252.1222,16911.71099,14149.76642,10210.07615,13946.79725,31544.8463,17361.36696,25210.99775,28857.3738,15392.58257,16914.12147,14764.40969,16973.57024,16692.46318,17105.70879,15790.51171,9158.950367,18391.1203,17855.97217,21131.10521,22891.85933,23398.3305,29962.42474,207.178709,242.543426,207.7264335,185.025203,226.3174505,223.2659915,246.774712,250.238748,228.3621845,253.7243525,210.3290935
Iceland,11594.52143,422.2,3461.87892,494.743225,550.125675,15354.58563,537.8919,654.4462444,4295.7166,724.20108,11301.60622,545.824325,22443.09946,486.56,3719.214411,16209.23851,17035.15675,450.4063,559.86486,2612.894207,10350.08818,469.6288167,492.3451714,4367.472975,2591.361393,532.5855833,908.6126,880.0180333,742.8468333,779.2432333,613.9121625,1073.3784,124,,,,,,,,,,,,
India,,,,,,,,,,,284,199.7142857,144.25,5,221.6,118.6153846,125.6078431,334.4146341,154.9,5.5,5.5,77.25,8,8.833333333,7.222222222,2.018742857,1084.166667,959.2464495,666.0600614,570.8526316,196.9571429,18.84615385,36,64,66,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,565,,,,,,1.380414,,0.980702,,534.7476635,,3.145565,,1.736431,,1050,,924.4491525,2.900378,5.493051,,,,,,,
Iran,6308,17,17,,,7712.5,1,1,14,2,12170.5,2,1,63,41,25903.5,43.5,53,179,401,30655.25,93.33333333,181.5,21.5,13.5,29,3,200.3333333,17675.875,20562.875,17969.9,22476.55556,22425.5,17189.22222,14939.44444,1210.5,18298.11111,20404.85714,,,,,,,
Ireland,6000,7000,7000,4974.5,5500,11950,10050,8400,6307.5,6937.29845,11094,9749.333333,7919.068275,9423.25,8194.03525,930.125,10679.33333,3888.666667,4671.333333,5053.5,1372.437727,2591.727273,505.4444444,457.4444444,1111.3,266.2120042,467.3333333,1023.666667,3163.25,1296.333333,809.3674,903.3333333,3950.75,1336.333333,1334.666667,1257,3862,,,,,,,,
Israel,,,,,,,,,,,,,,,,410,191,256,140,19,75,1,149.5,124,113,113,190,,,,,,,,887,2726,1697,1436,1237,,,,,,
Italy,4.251501429,0.746484286,114.6660506,132.4472325,172.064555,102.3333333,132.8393132,145.7226373,285.923476,222.8692839,2564.060306,222.5592644,308.9442458,189.688295,359.8839627,354.4379597,417.0184543,498.223045,449.6639061,464.1763941,492.1961144,442.0752144,485.7397505,510.8119269,544.7484524,283.112175,591.3520025,313.5612973,500.4262435,621.4115375,646.7026993,901.3660989,1024.861779,185.1940269,225.2110237,667.2631517,297.5211411,179.4547918,983.3551456,175.2978372,242.172202,248.6654721,167.794238,186.17397,181.2954728
Japan,2502,1278.5,1109.333333,933.5,1017.5,2013.5,2195,3113.333333,1796.5,3062,1565.666667,3300.180725,6191.53386,5931.58075,8866.12844,8842.54264,9464.44348,7814.916733,12556.22798,10371.40645,10766.46613,14059.90097,14462.1662,15479.50989,13346.11566,11493.25374,15989.59786,10074.11805,9093.689291,10773.28999,17057.87973,12637.94901,4187.293942,4947.585125,4882.0146,5895.228,5817.392,12470.25,10749,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,31,15.5,,83.5,65.5,46.5,23,27.5,2,16,22,106,39,,,,,,
Kenya,,,547.5,,,,,,195,,581,312,,,253,542.6666667,95.33333333,64.16666667,84.33333333,306.875,112.5,37525.31818,44201.125,96463,97,146.3333333,119,131.3333333,65,68,48,36,48,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9828,,,1.0524,,1.610466667,,,,,,,
Latvia,,,,,,100,116.01997,104.8023355,84.9563905,1285.571668,42.91131025,43.41727675,48.820591,44.0319945,42.84103075,44.8854255,40.14694,39.2717775,1477.117765,1826.780038,39.19564475,49.68518675,1119.926347,45.042285,41.67870725,34.6027675,41.26848767,41.65415933,39.03383467,39.86146767,57.8932745,60.1461045,58.7051695,54.9771405,51.811475,48.809411,52.3890285,50.119378,54.2277405,54.8159435,49.609948,45.615669,40.855182,43.7323685,43.9716365
Lesotho,1206,,,,,1244,,,,,,,,,,880,,,,,,,,,,815,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,5293.5,3633,4129.5,4080.5,2802,7814,3665.5,8060.5,16562,12760,18110,10565,16268.5,880,750,400,212,,,,90,,,,,,,,,,,,
Macedonia,,,,,,,,,,,,,,,,,,,10,,,,,,,,,446,,,,,,,,50,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,29.5,41,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,610000,298000,,,180000,,300000,,321000,,300000,289,191,210.3333333,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,1782.333333,3887.666667,,37878.54545,76885.90909,108049.2727,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,66,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,55111.11111,52842.33333,,,,,,,,,,,,,,,,2985.75,34853.85714,200,,,,,,,,,,,,,,,,,,,,,
Mauritius,25.5,24.5,26.5,11,7.5,7.5,7.5,9.5,10,14,14,12,15,18.33333333,28,26,35.66666667,38,44.75,61.75,75.5,90,100.25,104,124,118,136,150,145,,,,,,,,,,,,,,,,
Mexico,125108.8567,113603.613,103128.8319,140792.6557,127376.28,116319.3033,132953.7648,147940.3076,123076.1325,116970.1215,94449.6719,,,79354.93905,,,72613.45524,29.2,18.5,78032.77857,,,33493.50032,29555,44686,39770.65258,1126.98,954.89,1657.21,,,,,,29.27777778,144.2777778,132.4210526,123.75,70.5,,,,,,
Montenegro,14.57142857,,2052,,,,3000,,22,45.28571429,,16,28,141.25,2686,42,14,2015,,37.5,2200,2000,,,,6.333333333,10,10,372,,4700,,,,,,,,,,,,,,
Morocco,47.66666667,79.66666667,30,22.5,0,40,40.83333333,454,302.5652174,183.4166667,183.1176471,171.1632653,172.78,356.9591837,175.72,883.7666667,1434.011765,664.5280899,930.7,1550.988889,1606.604396,1193.964706,2630.976471,1909.034884,1636.790698,2891.988095,2868.234043,4195.979167,2068.104167,2784.489362,2760.446809,2371.285714,140.5,113.3333333,101.875,176.375,344,396.5,562,,,,,,
Mozambique,400,,,,,400,,,,,,,,,,25,,,,,825.6,722.3333333,1268.333333,,,3,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,199,,,,,156,112,,,
